Apple	ind	1	95	0	25	0
Egg	ind	1	70	6	1	5
EggWhite	ind	1	17	4	0	0
Broccoli	gr	100	34	2.8	7	0.4
Mushrooms	gr	100	22	3.1	3.3	0.3
Onion	ind	1	64	1.6	11	0
BrownBread	ind	1	122	4.4	18.5	2.9
CherryTomatoes	gr	150	25	1	6	0
WeetabixProtein	ind	2	144	7.6	25	0.8
Weetabix	ind	2	136	4.5	26	0.8
SoyMilk	gr	100	39	3	2.5	1.8
Almond	ind	1	7	0.3	0.3	0.6
Pecan	ind	1	10	0.13	0.2	1.07
Raisins	gr	100	299	3.1	79	0.5
SundriedTomatoes	gr	100	539	8	30	22
Potatoes	gr	200	346	5.2	52	11.4
Oil	ind	1	134.85	0	0	15
Huel	gr	100	400	29.5	37.1	13.1
Blueberries	gr	100	57	0.7	14	0.3
Blackberries	gr	100	43	1	10	0
Raspberries	gr	100	53	1.2	12	0.7
Banana	ind	1	105	1.3	27	0.4
NutBar	ind	1	229	10.2	14.6	13.7
Pasta	gr	100	160	5.1	32.5	0.7
ChickenBreast	gr	100	165	31	0	3.6
Tuna	gr	100	113	27	0.1	0.5
Tortilla	ind	1	180	5.4	28.1	4
Hummus	gr	100	347	6.7	11.2	29.4
Tomatoes	ind	1	22	1.1	4.8	0.2
Cucumber	ind	1	47	2	11	0.3
Lettuce	ind	1	1	0.1	0.2	0
ProteinShake	ind	1	110	24.2	1.3	0.2

